Track,Frequency,Note,Key,Channel,Port
3,41172, Note_off_c,2,26,64,0
3,41280, Note_on_c,2,27,118,0
3,41676, Note_off_c,2,27,64,0
3,41760, Note_on_c,2,28,118,0
3,42000, Note_on_c,2,29,118,0
3,42100, Note_off_c,2,28,64,0
3,42240, Note_on_c,2,41,127,0
3,42252, Note_off_c,2,29,64,0
3,42600, Note_on_c,2,38,87,0
3,42736, Note_off_c,2,41,64,0
3,42964, Note_on_c,2,36,99,0
3,42980, Note_off_c,2,38,64,0
3,43116, Note_on_c,2,41,127,0
3,43180, Note_off_c,2,36,64,0
3,43272, Note_off_c,2,41,64,0
3,43452, Note_on_c,2,41,101,0
3,43556, Note_off_c,2,41,64,0
3,43596, Note_on_c,2,41,104,0
3,43596, Note_on_c,2,38,104,0
3,43728, Note_off_c,2,41,64,0
3,43924, Note_on_c,2,36,102,0
3,43996, Note_off_c,2,38,64,0
3,44116, Note_off_c,2,36,64,0
3,44164, Note_on_c,2,39,127,0
3,44644, Note_off_c,2,39,64,0
3,44648, Note_on_c,2,36,127,0
3,44892, Note_on_c,2,34,107,0
3,44976, Note_off_c,2,36,64,0
3,45164, Note_off_c,2,34,64,0
3,45280, Note_on_c,2,39,83,0
3,45448, Note_off_c,2,39,64,0
3,45524, Note_on_c,2,39,103,0
3,45680, Note_on_c,2,36,118,0
3,45688, Note_off_c,2,39,64,0
3,46000, Note_off_c,2,36,64,0
3,46080, Note_on_c,2,34,127,0
3,46560, Note_on_c,2,31,127,0
3,46568, Note_off_c,2,34,64,0
3,46716, Note_on_c,2,29,77,0
3,46916, Note_off_c,2,31,64,0
3,46956, Note_on_c,2,34,127,0
3,46976, Note_off_c,2,29,64,0
3,47116, Note_off_c,2,34,64,0
3,47292, Note_on_c,2,34,101,0
3,47436, Note_on_c,2,31,104,0
3,47508, Note_off_c,2,34,64,0
3,47684, Note_on_c,2,29,86,0
3,47820, Note_off_c,2,31,64,0
3,47972, Note_off_c,2,29,64,0
3,48000, Note_on_c,2,34,118,0
